,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
11,11419,Toncoin,TON,toncoin,175,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,12,3414166606.0,8317879926.6552105,,2023-12-04T04:50:00.000Z,2.436284132132716,35359271.3833496,4.8575,0.96189485,-0.38836887,3.10000848,7.90444857,23.60244238,34.6077332,8361064236.2604265,0.5478,12297286747.78,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:50:27.527717
12,5805,Avalanche,AVAX,avalanche,574,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,365201199.51119775,433234109.51119775,False,,13,,,,2023-12-04T04:48:00.000Z,22.42254905165751,368346075.41392785,2.9878,0.95480549,0.59075929,8.47415017,85.702958,124.26533045,130.03949801,8188741809.763991,0.5367,16144235317.19,,2023-12-04T04:48:00.000Z,,,,,,2023-12-03 23:50:27.527717
13,3890,Polygon,MATIC,polygon,1120,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9275188969.960863,10000000000.0,False,,14,,,,2023-12-04T04:49:00.000Z,0.8247339191266961,489509983.2158995,8.0331,0.52150386,1.57262292,8.80268857,23.79367385,47.02695193,49.01599446,7649562949.836527,0.5013,8247339191.27,,2023-12-04T04:49:00.000Z,,,,,,2023-12-03 23:50:27.527717
14,6636,Polkadot,DOT,polkadot-new,630,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1252131961.7277622,1384392463.4361138,True,,15,,,,2023-12-04T04:49:00.000Z,5.635603684545941,161383574.97479546,20.0667,0.47211643,1.80640317,5.98518908,21.75412701,39.36614803,32.97185201,7056519497.0507145,0.4625,7801887267.8,,2023-12-04T04:49:00.000Z,,,,,,2023-12-03 23:50:27.527717
0,1,Bitcoin,BTC,bitcoin,10594,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19560512.0,19560512.0,False,,1,,,,2023-12-04T04:51:00.000Z,40851.86656208742,19877527565.703403,24.742,0.24683281,3.72443983,9.29808937,17.80480709,47.58510654,59.00389383,799083426110.1097,52.3564,857889197803.84,,2023-12-04T04:51:00.000Z,,,,,,2023-12-03 23:51:27.800259
1,1027,Ethereum,ETH,ethereum,7951,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120233028.20888889,120233028.20888889,True,,2,,,,2023-12-04T04:51:00.000Z,2225.4935767032644,9221707460.44172,-4.9837,0.54659072,3.10591116,8.50430446,21.55238678,35.39651185,37.22018814,267577831986.4646,17.5319,267577831986.46,,2023-12-04T04:51:00.000Z,,,,,,2023-12-03 23:51:27.800259
2,825,Tether USDt,USDT,tether,67235,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,89647599294.14194,92609951832.03839,True,,3,,,,2023-12-04T04:49:00.000Z,1.0001632806830645,36921569716.76959,13.4887,-0.01257188,-0.016258,-0.00683853,-0.04939932,0.00634262,0.05692665,89662237015.38977,5.8767,92625073248.23,,2023-12-04T04:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-03 23:51:27.800259
3,1839,BNB,BNB,bnb,1810,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151698245.3893142,151698245.3893142,False,,4,,,,2023-12-04T04:50:00.000Z,229.2039673054785,716064075.2303569,7.6546,-0.07176921,0.52676334,-0.06055479,-0.68928337,7.6454144,6.85300283,34769839676.510826,2.2781,34769839676.51,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
4,52,XRP,XRP,xrp,1162,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53888571585.0,99988188647.0,False,,5,,,,2023-12-04T04:51:00.000Z,0.6299296098679212,1123746907.3261077,58.8211,0.21550837,1.72383634,3.03644679,2.57067977,19.01690678,24.14857172,33946006874.878597,2.2242,62992960986.79,,2023-12-04T04:51:00.000Z,,,,,,2023-12-03 23:51:27.800259
5,5426,Solana,SOL,solana,557,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,424332798.80902916,564017187.0979419,True,,6,,,,2023-12-04T04:50:00.000Z,64.92662129271999,1328227818.8080993,-16.8017,0.83300849,1.35074277,13.8510944,58.56692834,177.00919061,237.18450733,27550494930.35378,1.8051,36619730309.29,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
